"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
882	111.779517	10.358883	36.271151	0.037470	0.805605	0.591267	0.997081	0.009252	-0.075795	-0.066531	0.592380	-0.802907
883	111.797551	10.766400	36.560229	0.034389	0.823726	0.565944	0.996261	0.016655	-0.084779	-0.079261	0.566743	-0.820073
884	111.813780	11.182295	36.837238	0.029923	0.840489	0.541002	0.995410	0.024164	-0.092597	-0.090899	0.541290	-0.835908
885	111.827467	11.606139	37.102085	0.023985	0.855861	0.516650	0.994599	0.031774	-0.098809	-0.100983	0.516230	-0.850476
886	111.837474	12.037998	37.353827	0.016448	0.869836	0.493067	0.993928	0.039433	-0.102722	-0.108794	0.491763	-0.863906
887	111.843500	12.476240	37.594406	0.007472	0.882575	0.470113	0.993429	0.047142	-0.104292	-0.114208	0.467803	-0.876423
888	111.844871	12.920322	37.824103	-0.002970	0.894181	0.447696	0.993156	0.054909	-0.103081	-0.116756	0.444326	-0.888224
889	111.840738	13.369886	38.042859	-0.014876	0.904743	0.425699	0.993153	0.062707	-0.098566	-0.115871	0.421318	-0.899481
890	111.829632	13.824932	38.249714	-0.028484	0.914159	0.404355	0.993438	0.070716	-0.089893	-0.110770	0.399141	-0.910174
891	111.811636	14.284155	38.446597	-0.043510	0.922221	0.384207	0.993899	0.078971	-0.077001	-0.101353	0.378513	-0.920030
892	111.786100	14.746929	38.634115	-0.059931	0.928971	0.365270	0.994392	0.087504	-0.059389	-0.087133	0.359662	-0.929005
893	111.752115	15.212753	38.812535	-0.077805	0.934527	0.347285	0.994682	0.096342	-0.036406	-0.067480	0.342605	-0.937053
894	111.707877	15.681286	38.981353	-0.097435	0.938918	0.330060	0.994391	0.105551	-0.006712	-0.041141	0.327555	-0.943936
895	111.653883	16.151672	39.141953	-0.118493	0.942325	0.313024	0.992920	0.115089	0.029399	-0.008322	0.314291	-0.949290
896	111.589459	16.623476	39.294335	-0.140748	0.944852	0.295712	0.989544	0.124755	0.072374	0.031491	0.302806	-0.952532
